Data is in nanoseconds (divide by 1000000 to get milliseconds, 10^9 to get seconds.)
Job#,CPU#,AvgWaitTime,AvgCompletionTime,AvgRunTime
7,1,1126715,5090760,3964045,
4,0,1040592,5223895,4183303,
14,3,1164640,5261425,4096785,
8,2,1136986,5300931,4163945,
21,0,5326611,6338758,1012147,
30,2,5351895,6407104,1055209,
26,3,5338068,6458066,1119998,
16,1,5310413,6496782,1186369,
23,3,6538264,7841966,1303702,
25,1,6546956,7897670,1350714,
11,2,6526017,7945472,1419455,
1,0,6508239,7972731,1464492,
27,3,7985769,9405619,1419850,
6,2,8020138,9487791,1467653,
3,1,8009867,9518211,1508344,
18,1,114173,1266171,1151998,
9,0,33581,1328196,1294615,
13,3,80592,1353875,1273283,
15,2,91259,1383109,1291850,
2,2,1435652,2787552,1351900,
20,1,1394567,2846022,1451455,
29,3,1425776,3337872,1912096,
24,0,1413924,3376588,1962664,
5,2,2909231,3870020,960789,
10,1,2927404,4289970,1362566,
17,0,3578070,5321871,1743801,
19,2,3942316,5359006,1416690,
12,3,3488391,5420241,1931850,
22,1,4356736,5874166,1517430,
28,0,9482,1403258,1393776,
Avg For All Jobs, After running 1 iterations:
  ,3437744,5195503,1757759
  ,0.0034377441333333335,0.005195503266666667,0.0017577591333333333
